agent,trial,n_requests,n_nav,n_sub,nav_order_unique_ratio,nav_order_stability,n_unique_nav_hashes,n_headers_mean,n_headers_std,sf_site_none_rate,sf_violation_rate,sf_site_mode,headless_rate,ch_incoherence_rate,ch_brand_matches_rate,ch_mobile_matches_rate,ch_platform_matches_rate,ch_brand_count_mode,accept_lang_rate,has_priority_rate,has_sec_ch_ua_rate,has_upgrade_ins_rate,has_dnt_rate,has_te_rate,has_connection_rate,has_cache_control_rate,ua_family_mode,ua_os_mode,ua_version_mode,ua_version_n_distinct,ua_family_n_distinct,priority_correct_rate,priority_urgency_mode,has_nonstandard_rate,nonstandard_names,n_nonstandard_distinct
autogen_websurfer,trial-027,8,7,1,1.0,0.14285714285714285,7,11.875,0.3535533905932738,0.875,0.0,none,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,0.0,0.0,edge,windows,122,1,1,1.0,0.0,0.0,,0
autogen_websurfer,trial-028,9,7,1,1.0,0.14285714285714285,7,11.0,2.6457513110645907,0.7777777777777778,0.1111111111111111,none,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,3,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.0,0.1111111111111111,0.0,edge,windows,122,2,2,1.0,0.0,0.0,,0
autogen_websurfer,trial-029,11,7,1,1.0,0.14285714285714285,7,10.181818181818182,3.628172592867705,0.5454545454545454,0.2727272727272727,none,0.7272727272727273,0.8181818181818182,1.0,0.9090909090909091,1.0,3,0.09090909090909091,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.0,0.0,0.09090909090909091,0.09090909090909091,edge,windows,122,2,3,1.0,0.0,0.09090909090909091,Pragma,1
autogen_websurfer,trial-030,8,7,1,1.0,0.14285714285714285,7,11.875,0.3535533905932738,0.875,0.0,none,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,0.0,0.0,edge,windows,122,1,1,1.0,0.0,0.0,,0
browser_use,trial-001,11,7,2,1.0,0.14285714285714285,7,10.363636363636363,3.640679257301507,0.6363636363636364,0.8181818181818182,none,0.0,0.0,1.0,1.0,1.0,2,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.0,headless-chrome,linux,128,1,2,0.8888888888888888,0.0,0.0,,0
browser_use,trial-002,16,7,4,1.0,0.14285714285714285,7,10.4375,3.3856314034460397,0.4375,0.875,,0.0,0.0,1.0,1.0,1.0,2,0.8125,0.5625,0.5625,0.4375,0.0,0.0,0.0625,0.25,headless-chrome,linux,128,2,3,0.8888888888888888,0.0,0.25,Cdn-Loop|Cf-Ew-Via|Cf-Ray|Cf-Visitor|Cf-Worker|Pragma|X-Forwarded-Proto,7
browser_use,trial-003,9,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.7777777777777778,0.7777777777777778,none,0.0,0.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,headless-chrome,linux,128,1,1,0.8888888888888888,0.0,0.0,,0
browser_use,trial-004,9,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.7777777777777778,0.7777777777777778,none,0.0,0.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,headless-chrome,linux,128,1,1,0.8888888888888888,0.0,0.0,,0
browser_use,trial-005,9,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.7777777777777778,0.7777777777777778,none,0.0,0.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,headless-chrome,linux,128,1,1,0.8888888888888888,0.0,0.0,,0
browser_use,trial-006,10,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.7,0.8,none,0.0,0.0,1.0,1.0,1.0,2,1.0,0.9,0.9,0.7,0.0,0.0,0.0,0.1,headless-chrome,linux,128,1,2,0.8888888888888888,0.0,0.1,Cdn-Loop|Cf-Ew-Via|Cf-Ray|Cf-Visitor|Cf-Worker|Pragma|X-Forwarded-Proto,7
browser_use,trial-007,17,7,2,1.0,0.14285714285714285,7,11.294117647058824,1.992633492465214,0.4117647058823529,0.8823529411764706,,0.0,0.11764705882352941,1.0,0.8823529411764706,1.0,2,0.9411764705882353,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,0.0,0.11764705882352941,0.4117647058823529,headless-chrome,linux,128,4,4,0.8888888888888888,0.0,0.4117647058823529,Cdn-Loop|Cf-Ew-Via|Cf-Ray|Cf-Visitor|Cf-Worker|Pragma|X-Forwarded-Proto,7
browser_use,trial-008,9,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.7777777777777778,0.7777777777777778,none,0.0,0.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,headless-chrome,linux,128,1,1,0.8888888888888888,0.0,0.0,,0
browser_use,trial-009,12,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.5833333333333334,0.8333333333333334,none,0.0,0.0,1.0,1.0,1.0,2,1.0,0.75,0.75,0.5833333333333334,0.0,0.0,0.0,0.25,headless-chrome,linux,128,1,2,0.8888888888888888,0.0,0.25,Cdn-Loop|Cf-Ew-Via|Cf-Ray|Cf-Visitor|Cf-Worker|Pragma|X-Forwarded-Proto,7
browser_use,trial-010,9,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.7777777777777778,0.7777777777777778,none,0.0,0.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,headless-chrome,linux,128,1,1,0.8888888888888888,0.0,0.0,,0
browser_use,trial-011,85,7,4,1.0,0.14285714285714285,7,1.5294117647058822,3.7339760351148974,0.08235294117647059,0.9764705882352941,,0.0,0.0,1.0,1.0,1.0,0,0.11764705882352941,0.10588235294117647,0.10588235294117647,0.08235294117647059,0.0,0.0,0.058823529411764705,0.0,other,other,147,3,6,0.8888888888888888,0.0,0.011764705882352941,Accept-Charset,1
browser_use,trial-012,9,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.7777777777777778,0.7777777777777778,none,0.0,0.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,headless-chrome,linux,147,1,1,0.8888888888888888,0.0,0.0,,0
browser_use,trial-013,12,7,3,1.0,0.14285714285714285,7,9.75,4.070403151799809,0.5833333333333334,0.8333333333333334,none,0.0,0.0,1.0,1.0,1.0,2,0.75,0.75,0.75,0.5833333333333334,0.0,0.0,0.25,0.0,headless-chrome,linux,147,3,2,0.8888888888888888,0.0,0.0,,0
browser_use,trial-014,10,7,2,1.0,0.14285714285714285,7,11.1,2.8460498941515415,0.7,0.8,none,0.0,0.1,1.0,0.9,1.0,2,0.9,0.9,0.9,0.7,0.0,0.0,0.1,0.0,headless-chrome,linux,147,2,2,0.8888888888888888,0.0,0.0,,0
browser_use,trial-015,9,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.7777777777777778,0.7777777777777778,none,0.0,0.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,headless-chrome,linux,147,1,1,0.8888888888888888,0.0,0.0,,0
browser_use,trial-016,9,7,2,1.0,0.14285714285714285,7,12.0,0.0,0.7777777777777778,0.7777777777777778,none,0.0,0.0,1.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,headless-chrome,linux,147,1,1,0.8888888888888888,0.0,0.0,,0
