agent,trial,f1_frac_kyber768,f1_frac_mlkem768,f2_frac_firefox_ja4,f2_frac_h2,f2_frac_pq,f3_mean_ak_window,f3_frac_win_firefox,f3_mean_init_window,f4_frac_s3_w110,f4_frac_s3_w220,f5_frac_s5_w110,f5_frac_s5_w220,f5_frac_s5_w256,f6_stream3_coverage,f6_stream5_coverage,f7_ja3_diversity,f7_ip_diversity,f8_mean_cipher_count,f8_mean_curve_count,f8_mean_sig_count,f9_h2_pseudo_order,f9_ak_pseudo_order,f10_frac_ext16,f10_frac_ext17,f10_frac_firefox_ext,f11_grease_cipher,f11_grease_curve,f11_grease_ver,f12_log_n_requests
autogen_websurfer,trial-001,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,1.0,0.0,0.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
autogen_websurfer,trial-002,1.0,0.4,0.0,1.0,1.0,12727092.2,0.0,7130316.8,0.0,1.0,0.0,0.0,1.0,0.5,0.4,0.2,0.5,14.6,5.2,8.8,0.0,0.0,0.6,0.0,0.0,1.0,1.0,1.0,2.3978952727983707
autogen_websurfer,trial-003,0.25806451612903225,0.03225806451612903,0.0,0.25806451612903225,0.2903225806451613,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.22580645161290322,0.1935483870967742,0.16129032258064516,0.16129032258064516,61.354838709677416,10.096774193548388,13.193548387096774,-1.0,0.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,3.4657359027997265
autogen_websurfer,trial-004,0.7,0.3,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.16666666666666666,0.8333333333333334,0.8,0.6,0.2,0.2,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.3978952727983707
autogen_websurfer,trial-005,1.0,0.2222222222222222,0.0,1.0,1.0,14031986.777777778,0.0,6757489.777777778,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.5555555555555556,0.2222222222222222,0.3333333333333333,14.777777777777779,4.666666666666667,8.444444444444445,0.0,0.0,0.7777777777777778,0.0,0.0,1.0,1.0,1.0,2.302585092994046
autogen_websurfer,trial-006,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
autogen_websurfer,trial-007,0.5,0.16666666666666666,0.0,0.5,0.5,13216427.666666666,0.0,6990506.666666667,0.0,1.0,0.0,0.0,1.0,0.2916666666666667,0.25,0.16666666666666666,0.25,46.25,8.75,11.916666666666666,-1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,3.2188758248682006
autogen_websurfer,trial-008,0.8333333333333334,0.16666666666666666,0.0,1.0,0.8333333333333334,12692139.666666666,0.0,5941930.666666667,0.0,1.0,0.0,0.0,1.0,0.5833333333333334,0.5,0.25,0.3333333333333333,14.0,4.333333333333333,8.5,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,2.5649493574615367
autogen_websurfer,trial-009,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
autogen_websurfer,trial-010,0.7857142857142857,0.2857142857142857,0.0,0.7857142857142857,0.7857142857142857,12994002.454545455,0.0,7054056.7272727275,0.0,1.0,0.0,0.0,1.0,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.5,17.714285714285715,5.642857142857143,9.642857142857142,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.70805020110221
autogen_websurfer,trial-011,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.14285714285714285,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0794415416798357
autogen_websurfer,trial-012,0.0,0.8181818181818182,0.0,0.7272727272727273,0.8181818181818182,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.6363636363636364,0.5454545454545454,0.2727272727272727,0.18181818181818182,15.545454545454545,4.2727272727272725,8.909090909090908,0.0,0.0,0.7272727272727273,0.0,0.0,1.0,1.0,1.0,2.4849066497880004
autogen_websurfer,trial-013,0.0,1.0,0.0,0.8,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.7,0.6,0.3,0.3,14.6,4.2,8.8,0.0,0.0,0.8,0.0,0.0,1.0,1.0,1.0,2.3978952727983707
autogen_websurfer,trial-014,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
autogen_websurfer,trial-015,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0986122886681098
autogen_websurfer,trial-016,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,15.444444444444445,4.0,8.444444444444445,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046
autogen_websurfer,trial-017,0.0,1.0,0.0,0.8888888888888888,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,14.777777777777779,4.111111111111111,8.222222222222221,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046
autogen_websurfer,trial-018,0.125,1.0,0.0,1.0,1.0,14745601.0,0.0,6553600.0,0.0,1.0,0.0,0.0,1.0,0.75,0.625,0.25,0.25,14.875,4.375,8.25,0.0,0.0,0.875,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
autogen_websurfer,trial-019,0.0,0.8,0.0,0.9,0.8,17643748.555555556,0.0,9320675.555555556,0.0,1.0,0.0,0.0,1.0,0.7,0.6,0.3,0.2,22.6,5.2,10.4,0.0,0.0,0.8,0.0,0.0,1.0,1.0,1.0,2.3978952727983707
autogen_websurfer,trial-020,0.0,0.6666666666666666,0.0,0.9166666666666666,0.6666666666666666,304230028.3636364,0.25,5719505.454545454,0.0,1.0,0.0,0.0,1.0,0.5833333333333334,0.5,0.25,0.16666666666666666,16.333333333333332,4.0,9.333333333333334,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,2.5649493574615367
autogen_websurfer,trial-021,0.0,0.75,0.0,0.6666666666666666,0.75,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.5833333333333334,0.5,0.25,0.25,15.833333333333334,4.25,9.166666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,2.5649493574615367
autogen_websurfer,trial-022,0.0,0.6153846153846154,0.0,0.7692307692307693,0.6153846153846154,13565953.0,0.0,5452595.2,0.0,1.0,0.0,0.0,1.0,0.5384615384615384,0.46153846153846156,0.3076923076923077,0.3076923076923077,15.153846153846153,3.8461538461538463,9.076923076923077,0.0,0.0,0.6153846153846154,0.0,0.0,1.0,1.0,1.0,2.6390573296152584
