agent,trial,req_rate_hz,iri_median_ms,iri_std_ms,page_dwell_mean_s,page_dwell_std_s,iri_page_to_subres_ms,subresource_burst_ms,req_rate_hz_median,req_rate_hz_cv
browser_use,trial-029,0.05665861640441659,16998.165,26353.533774609597,32.22341733333334,28.306312668161816,54557.108571428565,115.132,0.056080198912834625,0.9253304433967846
browser_use,trial-030,0.08259426304286846,16954.27,9141.763518200753,18.161067666666668,1.5963403159167113,117.59899999999999,112.97200000000001,0.056080198912834625,0.9253304433967846
claude_computer_use,trial-001,0.0908523474236466,13936.495,6293.34729779545,14.675826999999998,3.3005964695280756,30.433000000000003,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-002,0.09125237820807432,14231.527,6756.602545265839,14.611491333333333,4.308524176553715,44.267,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-003,0.10075059190972747,13667.2555,6137.065588724967,14.174816333333332,2.8119188687114476,31461.871285714293,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-004,0.09722095598678504,13628.383,5640.2989428256205,13.714464333333332,2.498161327841952,31.532999999999998,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-005,0.094113768464342,14878.130000000001,5746.678745160518,14.1672505,2.3894045318029975,63.025,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-006,0.10026206875513977,13743.68,5573.2770695341915,13.298482166666668,2.6898219020855945,33.02,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-007,0.10808238450059697,12918.115,5301.6678566328765,12.336268666666667,2.8044943053131464,29.766000000000002,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-008,0.09079346852215982,14204.147,6248.363968018448,14.685344166666667,3.1929628742705054,32.141000000000005,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-009,0.10695354046344181,12804.630000000001,5372.810842594429,14.024781166666669,2.2984560778995466,19445.15475,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-010,0.09044610551732098,14217.123000000001,6232.620768097448,14.741743999999999,3.1059243031471975,32.715,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-011,0.09335824800457539,13457.025,7300.643793030536,14.281901833333334,3.045511011067102,366.622,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-012,0.10207942813062773,14134.267,5611.521792248775,13.06172416666667,2.970720792812102,32.536,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-013,0.09482922211316466,14338.766,5978.48870534613,14.060363500000001,3.0486331717781163,33.717,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-014,0.10521000161812982,12510.0745,6772.967937359008,14.257199666666667,3.8935586934564466,6296.894,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-015,0.09819937573920347,13215.711000000001,5681.349559960146,13.577818833333334,2.716662255953097,31.418000000000003,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-016,0.07481427473195097,17996.056,7792.8966868510615,17.821910833333334,4.528256833805408,198.34199999999998,,0.09823732479838346,0.0855151565918412
