agent_label,req_rate_hz,iri_median_ms,iri_std_ms,page_dwell_mean_s,page_dwell_std_s,iri_page_to_subres_ms,subresource_burst_ms,req_rate_hz_median,req_rate_hz_cv
4,0.3788057668379794,3153.1259999999997,44.37650114982048,3.235069,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3809299846878844,3141.6110000000003,30.684694388245155,3.137473,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3779256642893883,3154.747,44.10992063357186,3.248498,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3777704266451052,3163.781,53.537551436351606,3.264769,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3779554938508215,3148.769,40.091708263679784,3.235946,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3780787424596921,3171.566,35.98380705956514,3.211761,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3768976324672686,3155.178,74.80646728258179,3.312249,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3787415403342697,3150.671,44.10419884546133,3.228439,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3785449313275331,3143.736,41.03134422243557,3.227457,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3779782084223498,3152.573,51.978382763414174,3.260338,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3788390842474352,3159.766,44.59358919956999,3.231208,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3784442685940076,3170.318,30.330265351625215,3.202462,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3794433288107904,3145.172,35.654333780060924,3.193907,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.3780749544939533,3167.635,57.71030271277382,3.265039,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
4,0.381627486032752,3136.07,24.648727600020333,3.128551,6.615422218676651,109.25,620.7629999999999,0.378746023101457,0.0293058903295606
5,0.0805618058089895,9596.714,15712.245224790297,16.715095,13.55023132315327,109.25,620.7629999999999,0.0822970325473133,4.897888534591901
5,0.115144746733948,10571.048,3049.4348356531086,10.4216652,3.0508130138914935,109.25,620.7629999999999,0.0822970325473133,4.897888534591901
5,0.2363276814701775,13.352,2692.96956643108,3.983219666666667,2.4089825027084495,109.25,620.7629999999999,0.0822970325473133,4.897888534591901
