agent_label,n_requests,n_nav,n_sub,nav_order_stability,n_unique_nav_hashes,n_headers_mean,n_headers_std,sf_site_none_rate,sf_violation_rate,sf_site_mode,headless_rate,ch_incoherence_rate,ch_mobile_matches_rate,ch_platform_matches_rate,ch_brand_count_mode,accept_lang_rate,has_priority_rate,has_sec_ch_ua_rate,has_upgrade_ins_rate,has_te_rate,has_connection_rate,has_cache_control_rate,ua_family_mode,ua_os_mode,ua_version_mode,ua_version_n_distinct,ua_family_n_distinct,priority_correct_rate,priority_urgency_mode,has_nonstandard_rate,n_nonstandard_distinct,ns_hdr_Next-Action,ns_hdr_Accept-Charset,ns_hdr_Signature,ns_hdr_Signature-Agent,ns_hdr_From,ns_hdr_X-Forwarded-Proto,ns_hdr_Cf-Ew-Via,ns_hdr_Pragma,ns_hdr_X-Request-Id,ns_hdr_Cdn-Loop,ns_hdr_Cf-Ray,ns_hdr_Cf-Worker,ns_hdr_Keep-Alive,ns_hdr_Amp-Cache-Transform,ns_hdr_X-Requested-With,ns_hdr_Sec-Gpc,ns_hdr_Signature-Input,ns_hdr_Cf-Visitor,ns_hdr_X-Envoy-Expected-Rq-Timeout-Ms,ns_hdr_Sec-Purpose
0,10,7,1,0.1428571428571428,7,11.0,2.8284271247461903,0.7,0.2,0,0.8,0.8,1.0,1.0,3,0.1,0.8,0.8,0.7,0.0,0.0,0.1,1,3,122.0,2,3,1.0,0.0,0.1,7,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
0,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,7,1,0.1428571428571428,7,10.88888888888889,2.976761849915292,0.7777777777777778,0.1111111111111111,0,0.8888888888888888,0.8888888888888888,1.0,1.0,3,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.0,0.0,1,3,122.0,2,2,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,6,1,0.1666666666666666,6,10.75,3.150963571444682,0.75,0.125,0,0.875,0.875,1.0,1.0,3,0.0,0.875,0.875,0.75,0.0,0.0,0.0,1,3,122.0,1,2,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,7,1,0.1428571428571428,7,11.0,2.6457513110645907,0.7777777777777778,0.1111111111111111,0,0.8888888888888888,0.8888888888888888,1.0,1.0,3,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.1111111111111111,0.0,1,3,122.0,2,2,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,7,1,0.1428571428571428,7,10.181818181818182,3.628172592867705,0.5454545454545454,0.2727272727272727,0,0.7272727272727273,0.8181818181818182,0.9090909090909092,1.0,3,0.0909090909090909,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.0,0.0909090909090909,0.0909090909090909,1,3,122.0,2,3,1.0,0.0,0.0909090909090909,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,7,2,0.1428571428571428,7,10.363636363636363,3.640679257301507,0.6363636363636364,0.8181818181818182,0,0.0,0.0,1.0,1.0,2,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,3,0,128.0,1,2,0.8888888888888888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,7,4,0.1428571428571428,7,10.4375,3.3856314034460397,0.4375,0.875,2,0.0,0.0,1.0,1.0,2,0.8125,0.5625,0.5625,0.4375,0.0,0.0625,0.25,3,0,128.0,2,3,0.8888888888888888,0.0,0.25,7,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
